benchmark,family,method,wns,tns,violations,composite_score,runtime_s,simulated
simple_design,synthetic,baseline,-1.7543,-24.7899,27,0.8182205384615384,0.001,False
simple_design,synthetic,random_search,-1.0972,-1.5774,5,0.35085644104888214,0.348,False
simple_design,synthetic,choa,-1.6062,-5.4026,6,0.432362,0.295,False
simple_design,synthetic,choa_memory,-1.3921,-4.0664,5,0.432362,0.334,False
synth_small,synthetic,baseline,-1.4855,-15.382,17,0.6278459259259259,0.001,False
synth_small,synthetic,random_search,-0.9978,-1.5352,3,0.29518114602024403,0.299,False
synth_small,synthetic,choa,-0.943,-5.5918,11,0.2103837740538375,0.345,False
synth_small,synthetic,choa_memory,-0.7022,-1.1106,6,0.2103837740538375,0.417,False
synth_medium,synthetic,baseline,-1.7112,-23.3378,25,0.7934751428571428,0.001,False
synth_medium,synthetic,random_search,-1.0315,-4.9137,7,0.3800976759514571,0.335,False
synth_medium,synthetic,choa,-1.8701,-8.535,7,0.44874800000000004,0.292,False
synth_medium,synthetic,choa_memory,-1.5339,-2.6638,5,0.44874800000000004,0.333,False
synth_large,synthetic,baseline,-1.7975,-22.8208,26,0.8232837575757576,0.001,False
synth_large,synthetic,random_search,-1.2799,-1.3183,5,0.39606529391696654,0.35,False
synth_large,synthetic,choa,-1.9932,-5.1742,6,0.43790700000000005,0.443,False
synth_large,synthetic,choa_memory,-1.8431,-6.9183,7,0.43790700000000005,0.264,False
synth_tight,synthetic,baseline,-1.4715,-7.3666,18,0.5380950322580645,0.001,False
synth_tight,synthetic,random_search,-1.0186,-1.3652,4,0.30405991851834635,0.344,False
synth_tight,synthetic,choa,-1.6019,-5.5794,6,0.445323,0.306,False
synth_tight,synthetic,choa_memory,-1.5928,-6.8728,9,0.445323,0.336,False
