benchmark,method,iteration,fitness
simple_design,choa,1,0.47565023264549916
simple_design,choa,2,0.432362
simple_design,choa,3,0.49885100000000004
simple_design,choa,4,0.486635
simple_design,choa,5,0.5055606891806796
simple_design,choa,6,0.457588
simple_design,choa,7,0.45227500000000004
simple_design,choa,8,0.5379700000000001
simple_design,choa,9,0.535316
simple_design,choa,10,0.5461986001905462
simple_design,choa,11,0.47011800000000004
simple_design,choa,12,0.5462370134316713
simple_design,choa,13,0.51594292131915
simple_design,choa,14,0.55011492131915
simple_design,choa,15,0.539127
simple_design,choa,16,0.537949
simple_design,choa,17,0.587218202954652
simple_design,choa,18,0.5561900000000001
simple_design,choa,19,0.522981
simple_design,choa,20,0.561251
simple_design,choa,21,0.540757
simple_design,choa,22,0.5442830000000001
simple_design,choa,23,0.514332
simple_design,choa,24,0.521181
simple_design,choa,25,0.525102
simple_design,choa,26,0.652394
simple_design,choa,27,0.49256099999999997
simple_design,choa,28,0.510082
simple_design,choa,29,0.5318620000000001
simple_design,choa,30,0.5271540000000001
simple_design,choa,31,0.539059
simple_design,choa_memory,1,0.47565023264549916
simple_design,choa_memory,2,0.432362
simple_design,choa_memory,3,0.49885100000000004
simple_design,choa_memory,4,0.486635
simple_design,choa_memory,5,0.5055606891806796
simple_design,choa_memory,6,0.457588
simple_design,choa_memory,7,0.45227500000000004
simple_design,choa_memory,8,0.5379700000000001
simple_design,choa_memory,9,0.535316
simple_design,choa_memory,10,0.5461986001905462
simple_design,choa_memory,11,0.47011800000000004
simple_design,choa_memory,12,0.5462370134316713
simple_design,choa_memory,13,0.51594292131915
simple_design,choa_memory,14,0.55011492131915
simple_design,choa_memory,15,0.539127
simple_design,choa_memory,16,0.537949
simple_design,choa_memory,17,0.587218202954652
simple_design,choa_memory,18,0.5561900000000001
simple_design,choa_memory,19,0.522981
simple_design,choa_memory,20,0.561251
simple_design,choa_memory,21,0.540757
simple_design,choa_memory,22,0.5442830000000001
simple_design,choa_memory,23,0.514332
simple_design,choa_memory,24,0.521181
simple_design,choa_memory,25,0.525102
simple_design,choa_memory,26,0.652394
simple_design,choa_memory,27,0.49256099999999997
simple_design,choa_memory,28,0.510082
simple_design,choa_memory,29,0.5318620000000001
simple_design,choa_memory,30,0.5271540000000001
simple_design,choa_memory,31,0.539059
synth_small,choa,1,0.363881202625266
synth_small,choa,2,0.3983747740538375
synth_small,choa,3,0.4411302373016887
synth_small,choa,4,0.36352877405383743
synth_small,choa,5,0.40421699627605967
synth_small,choa,6,0.418764
synth_small,choa,7,0.4075844407205041
synth_small,choa,8,0.3245256971307605
synth_small,choa,9,0.2103837740538375
synth_small,choa,10,0.3857334407205041
synth_small,choa,11,0.3929317740538375
synth_small,choa,12,0.29028877405383746
synth_small,choa,13,0.352039
synth_small,choa,14,0.41310353875971983
synth_small,choa,15,0.3637351376902011
synth_small,choa,16,0.4489018610103592
synth_small,choa,17,0.4088359505244257
synth_small,choa,18,0.4918021376902012
synth_small,choa,19,0.3238939319485743
synth_small,choa,20,0.47472800000000004
synth_small,choa,21,0.458318195106469
synth_small,choa,22,0.5264607740538375
synth_small,choa,23,0.3506733125153759
synth_small,choa,24,0.4466662446420727
synth_small,choa,25,0.2860777740538375
synth_small,choa,26,0.4244807740538375
synth_small,choa,27,0.5312397264347898
synth_small,choa,28,0.41827067881574226
synth_small,choa,29,0.3707577740538375
synth_small,choa,30,0.3193926629427264
synth_small,choa,31,0.49295872643478983
synth_small,choa_memory,1,0.363881202625266
synth_small,choa_memory,2,0.3983747740538375
synth_small,choa_memory,3,0.4411302373016887
synth_small,choa_memory,4,0.36352877405383743
synth_small,choa_memory,5,0.40421699627605967
synth_small,choa_memory,6,0.418764
synth_small,choa_memory,7,0.4075844407205041
synth_small,choa_memory,8,0.3245256971307605
synth_small,choa_memory,9,0.2103837740538375
synth_small,choa_memory,10,0.3857334407205041
synth_small,choa_memory,11,0.3929317740538375
synth_small,choa_memory,12,0.29028877405383746
synth_small,choa_memory,13,0.352039
synth_small,choa_memory,14,0.41310353875971983
synth_small,choa_memory,15,0.3637351376902011
synth_small,choa_memory,16,0.4489018610103592
synth_small,choa_memory,17,0.4088359505244257
synth_small,choa_memory,18,0.4918021376902012
synth_small,choa_memory,19,0.3238939319485743
synth_small,choa_memory,20,0.47472800000000004
synth_small,choa_memory,21,0.458318195106469
synth_small,choa_memory,22,0.5264607740538375
synth_small,choa_memory,23,0.3506733125153759
synth_small,choa_memory,24,0.4466662446420727
synth_small,choa_memory,25,0.2860777740538375
synth_small,choa_memory,26,0.4244807740538375
synth_small,choa_memory,27,0.5312397264347898
synth_small,choa_memory,28,0.41827067881574226
synth_small,choa_memory,29,0.3707577740538375
synth_small,choa_memory,30,0.3193926629427264
synth_small,choa_memory,31,0.49295872643478983
synth_medium,choa,1,0.3990397740538375
synth_medium,choa,2,0.473541
synth_medium,choa,3,0.44874800000000004
synth_medium,choa,4,0.47005558728444147
synth_medium,choa,5,0.5009939999999999
synth_medium,choa,6,0.45002600000000004
synth_medium,choa,7,0.47120025395110804
synth_medium,choa,8,0.460106
synth_medium,choa,9,0.518652
synth_medium,choa,10,0.5507580000000001
synth_medium,choa,11,0.5512680000000001
synth_medium,choa,12,0.538017
synth_medium,choa,13,0.526241
synth_medium,choa,14,0.51273
synth_medium,choa,15,0.545947
synth_medium,choa,16,0.48852
synth_medium,choa,17,0.509547
synth_medium,choa,18,0.5311870000000001
synth_medium,choa,19,0.5609740000000001
synth_medium,choa,20,0.5674600000000001
synth_medium,choa,21,0.539998
synth_medium,choa,22,0.5134590000000001
synth_medium,choa,23,0.547135
synth_medium,choa,24,0.5300929999999999
synth_medium,choa,25,0.534869
synth_medium,choa,26,0.5438480000000001
synth_medium,choa,27,0.6167199999999999
synth_medium,choa,28,0.567242
synth_medium,choa,29,0.556786
synth_medium,choa,30,0.53848
synth_medium,choa,31,0.564189
