benchmark,type,target,priority,est_slack_gain_ns
simple_design,gate_upsize,ff_9/Q,0.7418,0.3372
simple_design,gate_upsize,ff_8/Q,0.5046,0.2294
simple_design,gate_upsize,ff_0/Q,0.4922,0.2238
simple_design,gate_upsize,ff_5/Q,0.454,0.2064
simple_design,buffer_insert,ff_10/D,0.1049,0.5059
simple_design,buffer_insert,ff_9/D,0.0714,0.3441
simple_design,buffer_insert,ff_1/D,0.0696,0.3357
simple_design,buffer_insert,ff_6/D,0.0642,0.3096
simple_design,gate_upsize,ff_6/Q,0.7834,0.3143
simple_design,gate_upsize,ff_3/Q,0.6391,0.2564
simple_design,gate_upsize,ff_5/Q,0.4502,0.1806
simple_design,buffer_insert,ff_7/D,0.1108,0.4714
simple_design,buffer_insert,ff_4/D,0.0904,0.3845
simple_design,buffer_insert,ff_6/D,0.0637,0.2709
synth_small,buffer_insert,ff_17/D,7.1645,0.2595
synth_small,buffer_insert,ff_12/D,6.6875,0.2422
synth_small,buffer_insert,ff_11/D,6.5326,0.2366
synth_small,buffer_insert,ff_7/D,6.5119,0.2359
synth_small,buffer_insert,ff_6/D,5.3574,0.1941
synth_small,buffer_insert,ff_20/D,4.1541,0.1505
synth_small,buffer_insert,ff_2/D,3.6969,0.1339
synth_small,buffer_insert,ff_5/D,2.5069,0.0908
synth_small,buffer_insert,ff_1/D,2.3305,0.0844
synth_small,gate_upsize,ff_16/Q,0.7339,0.173
synth_small,gate_upsize,ff_11/Q,0.685,0.1615
synth_small,gate_upsize,ff_10/Q,0.6692,0.1578
synth_small,gate_upsize,ff_6/Q,0.6671,0.1573
synth_small,gate_upsize,ff_5/Q,0.5488,0.1294
synth_small,gate_upsize,ff_19/Q,0.4255,0.1003
synth_small,gate_upsize,ff_1/Q,0.3787,0.0893
synth_small,gate_upsize,ff_4/Q,0.2568,0.0605
synth_small,gate_upsize,ff_0/Q,0.2387,0.0563
synth_small,buffer_insert,ff_10/D,5.4329,0.1465
synth_small,buffer_insert,ff_4/D,4.7089,0.127
synth_small,gate_upsize,ff_9/Q,0.5565,0.0977
synth_small,gate_upsize,ff_3/Q,0.4824,0.0847
synth_medium,buffer_insert,ff_27/D,7.3346,0.3793
synth_medium,buffer_insert,ff_6/D,7.1055,0.3675
synth_medium,buffer_insert,ff_4/D,6.9918,0.3616
synth_medium,buffer_insert,ff_2/D,6.7319,0.3482
synth_medium,buffer_insert,ff_14/D,6.3636,0.3291
synth_medium,buffer_insert,ff_8/D,6.2847,0.325
synth_medium,buffer_insert,ff_20/D,6.1049,0.3157
synth_medium,buffer_insert,ff_9/D,4.7923,0.2479
synth_medium,buffer_insert,ff_25/D,4.7778,0.2471
synth_medium,buffer_insert,ff_16/D,4.6345,0.2397
synth_medium,buffer_insert,ff_23/D,4.399,0.2275
synth_medium,buffer_insert,ff_22/D,3.8433,0.1988
synth_medium,buffer_insert,ff_17/D,3.3445,0.173
synth_medium,buffer_insert,ff_7/D,3.1502,0.1629
synth_medium,buffer_insert,ff_26/D,2.428,0.1256
synth_medium,buffer_insert,ff_15/D,2.4106,0.1247
synth_medium,gate_upsize,ff_26/Q,0.7513,0.2529
synth_medium,gate_upsize,ff_5/Q,0.7279,0.245
synth_medium,gate_upsize,ff_3/Q,0.7162,0.2411
synth_medium,gate_upsize,ff_1/Q,0.6896,0.2321
synth_medium,buffer_insert,ff_11/D,6.7822,0.2632
synth_medium,buffer_insert,ff_2/D,3.8507,0.1494
synth_medium,buffer_insert,ff_4/D,3.7834,0.1468
synth_medium,buffer_insert,ff_9/D,2.5558,0.0992
synth_medium,buffer_insert,ff_15/D,2.4901,0.0966
synth_medium,buffer_insert,ff_5/D,2.2311,0.0866
synth_medium,gate_upsize,ff_10/Q,0.6948,0.1755
synth_medium,gate_upsize,ff_1/Q,0.3945,0.0996
synth_medium,gate_upsize,ff_3/Q,0.3876,0.0979
synth_medium,gate_upsize,ff_8/Q,0.2618,0.0661
synth_medium,gate_upsize,ff_14/Q,0.2551,0.0644
synth_medium,gate_upsize,ff_4/Q,0.2285,0.0577
synth_large,gate_upsize,ff_8/Q,0.622,0.3969
synth_large,gate_upsize,ff_3/Q,0.5746,0.3667
synth_large,gate_upsize,ff_5/Q,0.4129,0.2635
synth_large,gate_upsize,ff_1/Q,0.3118,0.199
synth_large,gate_upsize,ff_4/Q,0.0937,0.0598
synth_large,buffer_insert,ff_9/D,0.0778,0.5954
synth_large,buffer_insert,ff_4/D,0.0718,0.55
synth_large,gate_upsize,ff_2/Q,0.0616,0.0393
synth_large,buffer_insert,ff_6/D,0.0516,0.3952
synth_large,buffer_insert,ff_2/D,0.039,0.2985
synth_large,buffer_insert,ff_5/D,0.0117,0.0897
synth_large,buffer_insert,ff_3/D,0.0077,0.059
synth_large,gate_upsize,ff_3/Q,0.7903,0.4747
synth_large,gate_upsize,ff_5/Q,0.7562,0.4542
synth_large,gate_upsize,ff_7/Q,0.7451,0.4475
synth_large,gate_upsize,ff_1/Q,0.3635,0.2183
synth_large,gate_upsize,ff_6/Q,0.2037,0.1223
synth_large,gate_upsize,ff_0/Q,0.1203,0.0723
synth_large,buffer_insert,ff_4/D,0.0988,0.712
synth_large,buffer_insert,ff_6/D,0.0945,0.6812
synth_large,buffer_insert,ff_8/D,0.0931,0.6712
synth_large,buffer_insert,ff_2/D,0.0454,0.3275
synth_large,buffer_insert,ff_7/D,0.0255,0.1835
synth_large,gate_upsize,ff_9/Q,0.0237,0.0142
synth_large,buffer_insert,ff_1/D,0.015,0.1084
synth_large,buffer_insert,ff_10/D,0.003,0.0214
synth_tight,gate_upsize,ff_0/Q,0.6299,0.2146
synth_tight,gate_upsize,ff_3/Q,0.6218,0.2119
synth_tight,gate_upsize,ff_1/Q,0.5319,0.1812
synth_tight,gate_upsize,ff_8/Q,0.5146,0.1753
synth_tight,gate_upsize,ff_4/Q,0.4442,0.1513
synth_tight,buffer_insert,ff_1/D,0.0787,0.3219
synth_tight,buffer_insert,ff_4/D,0.0777,0.3178
synth_tight,buffer_insert,ff_2/D,0.0665,0.2719
synth_tight,buffer_insert,ff_9/D,0.0643,0.263
synth_tight,buffer_insert,ff_5/D,0.0555,0.227
synth_tight,gate_upsize,ff_6/Q,0.0441,0.015
synth_tight,buffer_insert,ff_7/D,0.0055,0.0225
synth_tight,gate_upsize,ff_9/Q,0.6669,0.2257
synth_tight,gate_upsize,ff_0/Q,0.6318,0.2138
synth_tight,gate_upsize,ff_4/Q,0.6095,0.2063
synth_tight,gate_upsize,ff_6/Q,0.3898,0.1319
synth_tight,gate_upsize,ff_7/Q,0.3433,0.1162
synth_tight,gate_upsize,ff_5/Q,0.3211,0.1087
synth_tight,gate_upsize,ff_2/Q,0.2487,0.0842
synth_tight,gate_upsize,ff_3/Q,0.221,0.0748
synth_tight,buffer_insert,ff_10/D,0.0834,0.3386
synth_tight,buffer_insert,ff_1/D,0.079,0.3207
synth_tight,buffer_insert,ff_5/D,0.0762,0.3094
synth_tight,buffer_insert,ff_7/D,0.0487,0.1979
synth_tight,buffer_insert,ff_8/D,0.0429,0.1743
synth_tight,buffer_insert,ff_6/D,0.0401,0.163
synth_tight,buffer_insert,ff_3/D,0.0311,0.1263
synth_tight,buffer_insert,ff_4/D,0.0276,0.1122
synth_tight,gate_upsize,ff_1/Q,0.0199,0.0067
